Anchor_Name,Anchor_Color,FPT_Price,FPT_Stock,Date,CPS_Price,CPS_Stock,MW_Price,MW_Stock,Viettel_Price,Viettel_Stock,HoangHa_Price,HoangHa_Stock,DDV_Price,DDV_Stock
iPhone 17 256GB,Xanh Lam Khói,24990000,Yes,2025-11-29,,,,,,,,,,
iPhone 17 Pro 256GB,Cam Vũ Trụ,34790000,Yes,2025-11-29,,,,,,,,,,
iPhone 17 Pro Max 256GB,Xanh Đậm,37990000,Yes,2025-11-29,,,,,,,,,,
iPhone Air 256GB,Xanh Da Trời,30390000,Yes,2025-11-29,,,,,,,,,,
iPhone 17 256GB,Đen,24990000,No,2025-11-29,,,,,,,,,,
iPhone 17 256GB,Tím Oải Hương,24990000,No,2025-11-29,,,,,,,,,,
iPhone 17 Pro 256GB,Bạc,34990000,Yes,2025-11-29,,,,,,,,,,
iPhone 17 Pro Max 256GB,Cam Vũ Trụ,37990000,Yes,2025-11-29,,,,,,,,,,
iPhone Air 256GB,Đen Không Gian,30990000,Yes,2025-11-29,,,,,,,,,,
iPhone 17 256GB,Xanh Lá Xô Thơm,24990000,No,2025-11-29,,,,,,,,,,
iPhone 17 Pro Max 256GB,Xanh Đậm,37990000,Yes,2025-12-01,13590000.0,Yes,37990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 Pro 256GB,Cam Vũ Trụ,33990000,Yes,2025-12-01,13590000.0,Yes,34990000.0,Yes,9390000.0,Yes,,,,
iPhone Air 256GB,Xanh Da Trời,30390000,Yes,2025-12-01,18790000.0,Yes,30990000.0,Yes,20490000.0,Yes,,,,
iPhone 17 256GB,Xanh Lam Khói,24990000,Yes,2025-12-01,13590000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 256GB,Đen,24990000,No,2025-12-01,19790000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 256GB,Xanh Lá Xô Thơm,24990000,No,2025-12-01,13590000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 Pro Max 256GB,Cam Vũ Trụ,37990000,Yes,2025-12-01,13590000.0,Yes,37990000.0,Yes,,,,,,
iPhone 17 Pro 256GB,Bạc,34990000,Yes,2025-12-01,13590000.0,Yes,34990000.0,Yes,9390000.0,Yes,,,,
iPhone Air 256GB,Đen Không Gian,30990000,Yes,2025-12-01,18790000.0,Yes,30990000.0,Yes,15790000.0,Yes,,,,
iPhone 17 256GB,Trắng,24990000,No,2025-12-01,13590000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 256GB,Tím Oải Hương,24990000,No,2025-12-01,13590000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 512GB,Đen,31490000,Yes,2025-12-01,19790000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 512GB,Trắng,31490000,Yes,2025-12-01,13590000.0,Yes,23990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 512GB,Xanh Lam Khói,31490000,No,2025-12-01,13590000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 Pro Max 256GB,Bạc,37990000,Yes,2025-12-01,13590000.0,Yes,37990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 Pro 256GB,Xanh Đậm,34990000,Yes,2025-12-01,13590000.0,Yes,34990000.0,Yes,9390000.0,Yes,,,,
iPhone Air 256GB,Trắng Mây,30990000,Yes,2025-12-01,18790000.0,Yes,30990000.0,Yes,20490000.0,Yes,,,,
iPhone 17 512GB,Xanh Lá Xô Thơm,31490000,No,2025-12-01,13590000.0,Yes,24990000.0,Yes,9390000.0,Yes,,,,
iPhone 17 512GB,Tím Oải Hương,31490000,No,2025-12-01,13590000.0,Yes,31490000.0,Yes,9390000.0,Yes,,,,
iPhone 15 128GB,Hồng,16890000,Yes,2025-12-01,13590000.0,Yes,20890000.0,Yes,9390000.0,Yes,,,,
iPhone Air 256GB,Vàng Nhạt,30990000,Yes,2025-12-01,18790000.0,Yes,30990000.0,Yes,20490000.0,Yes,,,,
iPhone 15 128GB,Xanh dương,16990000,Yes,2025-12-01,13590000.0,Yes,17190000.0,Yes,9390000.0,Yes,,,,
iPhone 17 Pro Max 512GB,Cam Vũ Trụ,43490000,Yes,2025-12-01,13590000.0,Yes,44490000.0,Yes,,,,,,
iPhone 17 Pro 512GB,Cam Vũ Trụ,40990000,Yes,2025-12-01,13590000.0,Yes,41490000.0,Yes,,,,,,
iPhone 15 128GB,Đen,16990000,Yes,2025-12-01,19790000.0,Yes,17190000.0,Yes,9390000.0,Yes,,,,
iPhone Air 512GB,Xanh Da Trời,35990000,No,2025-12-01,18790000.0,Yes,36490000.0,Yes,15790000.0,Yes,,,,
iPhone Air 512GB,Vàng Nhạt,36490000,Yes,2025-12-01,18790000.0,Yes,36490000.0,Yes,15790000.0,Yes,,,,
iPhone Air 512GB,Đen Không Gian,36490000,No,2025-12-01,16190000.0,Yes,30990000.0,Yes,15790000.0,Yes,,,,
iPhone 15 128GB,Vàng,16990000,Yes,2025-12-01,13590000.0,Yes,17290000.0,Yes,9390000.0,Yes,,,,
iPhone 15 128GB,Xanh lá,16990000,No,2025-12-01,13590000.0,Yes,13690000.0,Yes,9390000.0,Yes,,,,
iPhone Air 512GB,Trắng Mây,36490000,No,2025-12-01,18790000.0,Yes,36490000.0,Yes,15790000.0,Yes,,,,
iPhone Air 1TB,Vàng Nhạt,41490000,Yes,2025-12-01,16190000.0,Yes,41990000.0,Yes,15790000.0,Yes,,,,
iPhone 17 Pro Max 512GB,Bạc,44490000,No,2025-12-01,13590000.0,Yes,37990000.0,Yes,,,,,,
iPhone 17 Pro 512GB,Bạc,41490000,Yes,2025-12-01,13590000.0,Yes,34990000.0,Yes,9390000.0,Yes,,,,
iPhone Air 1TB,Xanh Da Trời,41490000,Yes,2025-12-01,16190000.0,Yes,41990000.0,Yes,15790000.0,Yes,,,,
iPhone Air 1TB,Đen Không Gian,41490000,Yes,2025-12-01,16190000.0,Yes,41990000.0,Yes,15790000.0,Yes,,,,
iPhone 15 256GB,Xanh dương,20490000,Yes,2025-12-01,13590000.0,Yes,16990000.0,Yes,9390000.0,Yes,,,,
iPhone Air 1TB,Trắng Mây,41490000,Yes,2025-12-01,16190000.0,Yes,41990000.0,Yes,15790000.0,Yes,,,,
