SKU,Days_Tracked,First_Price_Avg,Last_Price_Avg,Change_Pct,Volatility,Min_Price_Seen,Max_Price_Seen
404 - Trang hết hạn truy cập hoặc không tồn tại - Trang hết hạn truy cập hoặc không tồn tại,5,0.0,0.0,0.0,0.0,0.0,0.0
Apple AirPods 4 - Chủ Động Khử Tiếng Ồn - Trắng,8,3810000.0,3570000.0,-6.3,203540.95,2990000.0,4690000.0
Apple AirPods 4 - Trắng,8,3443333.3333333335,3010000.0,-12.58,223708.71,2990000.0,3550000.0
Apple AirPods Pro 2023 USB-C - Trắng,8,5690000.0,5530000.0,-2.81,68549.31,4990000.0,6490000.0
Apple AirPods Pro 3 2025 USB-C - Trắng,8,6156666.666666667,5810000.0,-5.63,141888.48,4990000.0,6790000.0
Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Cao Su S/M - Bạc,9,7073333.333333333,7190000.0,1.65,623765.69,0.0,9590000.0
Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Cao Su S/M - Ánh Sao,8,7523333.333333333,6516666.666666667,-13.38,544346.85,4590000.0,12190000.0
Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Cao Su S/M - Đêm Xanh Thẳm,14,6106666.666666667,7491666.666666667,22.68,1489087.72,0.0,19990000.0
Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Vải - Bạc,9,6490000.0,6073333.333333333,-6.42,431585.51,4590000.0,9590000.0
Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Vải - Ánh Sao,8,5523333.333333333,7840000.0,41.94,1395325.53,4590000.0,19990000.0
Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Vải - Đêm Xanh Thẳm,16,5856666.666666667,6958333.333333333,18.81,1255853.81,0.0,19990000.0
Apple Watch SE 2024 GPS 44mm Viền Nhôm Dây Cao Su S/M - Bạc,11,7356666.666666667,7456666.666666667,1.36,281767.51,5290000.0,12190000.0
