Anchor_Name,Anchor_Color,Cheapest_Retailer,Min_Price,Price_Spread,Spread_Pct,FPT_Price,CPS_Price,HoangHa_Price,Viettel_Price,DDV_Price,MW_Price
iPhone 16 Pro Max 256GB,Titan Sa Mạc,HoangHa,30490000.0,1100000.0,3.6,31290000,31590000.0,30490000.0,30890000.0,30990000.0,31590000.0
iPhone 16 Pro 128GB,Titan Tự nhiên,"HoangHa, Viettel",24990000.0,6000000.0,24.0,25490000,25590000.0,24990000.0,24990000.0,30990000.0,25590000.0
iPhone 16 Plus 128GB,Hồng,HoangHa,22990000.0,1000000.0,4.3,23790000,23790000.0,22990000.0,23490000.0,23690000.0,23990000.0
iPhone 15 128GB,Hồng,DDV,16590000.0,3400000.0,20.5,16790000,16890000.0,16790000.0,19990000.0,16590000.0,19990000.0
iPhone 16 128GB,Trắng,Viettel,12490000.0,7500000.0,60.0,19790000,19790000.0,19990000.0,12490000.0,19690000.0,19990000.0
iPhone 13 128GB,Trắng,HoangHa,11990000.0,500000.0,4.2,12090000,12090000.0,11990000.0,12490000.0,12190000.0,12490000.0
iPhone 14 128GB,Xanh dương,Viettel,12490000.0,1400000.0,11.2,13590000,13590000.0,13490000.0,12490000.0,13490000.0,13890000.0
iPhone 16e 128GB,Đen,"CPS, Viettel",12490000.0,12500000.0,100.1,15190000,12490000.0,15250000.0,12490000.0,24990000.0,15190000.0
iPhone 16 Pro Max 256GB,Titan Trắng,HoangHa,30490000.0,1100000.0,3.6,31590000,31590000.0,30490000.0,30890000.0,30990000.0,31590000.0
iPhone 16 Pro 128GB,Titan Đen,"HoangHa, Viettel",24990000.0,17600000.0,70.4,25490000,25790000.0,24990000.0,24990000.0,42590000.0,25590000.0
iPhone 16 Plus 128GB,Trắng,HoangHa,23390000.0,600000.0,2.6,23790000,23790000.0,23390000.0,23490000.0,23590000.0,23990000.0
iPhone 16 128GB,Xanh Mòng Két,DDV,13490000.0,10000000.0,74.1,19790000,19790000.0,19990000.0,23490000.0,13490000.0,19990000.0
iPhone 13 128GB,Đen,HoangHa,11990000.0,500000.0,4.2,12090000,12090000.0,11990000.0,12490000.0,12190000.0,12490000.0
iPhone 14 128GB,Đen,Viettel,12490000.0,1400000.0,11.2,13590000,13590000.0,13490000.0,12490000.0,13490000.0,13890000.0
