retailer,original_name,original_specs,product_key,product_name,category,variant_storage,variant_color,price,stock,url,Promotion Details,Payment Promo,Other Promo,Voucher
CellphoneS,iPhone 12 Pro Max 128GB,,iphone_12_pro_max,iPhone 12 Pro Max 128GB,iPhone,128GB,,23490000.0,No,https://cellphones.com.vn/iphone-12-pro-max.html,,Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,Tai nghe Bluetooth Apple AirPods 4 chống ồn chủ động,,airpods_4_anc,AirPods 4 ANC Trắng,Audio,,Trắng,4390000.0,Yes,https://cellphones.com.vn/apple-airpods-4-chong-on-chu-dong.html,,Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,Tai nghe Bluetooth Apple AirPods Pro 3 2025 Type-C (MFHP4ZP/A),,airpods_pro_3,AirPods Pro 3 Trắng,Audio,,Trắng,6390000.0,Yes,https://cellphones.com.vn/apple-airpods-pro-3.html,,Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,Tai nghe Bluetooth Apple AirPods Pro 2 2023 USB-C,,airpods_pro_2,AirPods Pro 2 Trắng,Audio,,Trắng,4990000.0,Yes,https://cellphones.com.vn/apple-airpods-pro-2-usb-c.html,,Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,Tai nghe Bluetooth Apple AirPods 4,,airpods_4,AirPods 4 Trắng,Audio,,Trắng,2990000.0,Yes,https://cellphones.com.vn/apple-airpods-4.html,,Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,iPhone 14 Pro Max 128GB,,iphone_14_pro_max,iPhone 14 Pro Max 128GB,iPhone,128GB,,25590000.0,No,https://cellphones.com.vn/iphone-14-pro-max.html,,Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,iPhone 14 256GB,,iphone_14,iPhone 14 256GB,iPhone,256GB,,16290000.0,No,https://cellphones.com.vn/iphone-14-256gb.html,"Khuyến mãi hấp dẫn 1 Đặc quyền trợ giá lên đến 3 triệu khi thu cũ lên đời iPhone              Xem chi tiết2 trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng              Xem chi tiết3 Chi thêm 10K - Nhận ngay Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng              Xem chi tiết4 Giảm thêm 10% cho Pin dự phòng - Camera giám sát - Đồng hồ trẻ em - Gia dụng - Sức khỏe Làm đẹp khi mua Điện thoại/Laptop              Xem chi tiết",Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,iPhone 13 128GB,,iphone_13,iPhone 13 128GB Hồng,iPhone,128GB,Hồng,12390000.0,Yes,https://cellphones.com.vn/iphone-13.html,"Khuyến mãi hấp dẫn 1 trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng              Xem chi tiết2 Đặc quyền trợ giá lên đến 3 triệu khi thu cũ lên đời iPhone              Xem chi tiết3 Chi thêm 10K - Nhận ngay Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng              Xem chi tiết4 Giảm thêm 10% cho Loa, Tai nghe, Máy tính bàn, TV (từ 10 triệu) khi mua Điện thoại/Laptop              Xem chi tiết",Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,iPhone 14 128GB,,iphone_14,iPhone 14 128GB,iPhone,128GB,,13890000.0,Yes,https://cellphones.com.vn/iphone-14.html,"Khuyến mãi hấp dẫn 1 Đặc quyền trợ giá lên đến 3 triệu khi thu cũ lên đời iPhone              Xem chi tiết2 trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng              Xem chi tiết3 Chi thêm 10K - Nhận ngay Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng              Xem chi tiết4 Giảm thêm 10% cho Loa, Tai nghe, Máy tính bàn, TV (từ 10 triệu) khi mua Điện thoại/Laptop              Xem chi tiết",Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
CellphoneS,iPhone 15 256GB,,iphone_15,iPhone 15 256GB Xanh Dương,iPhone,256GB,Xanh Dương,20790000.0,Yes,https://cellphones.com.vn/iphone-15-256gb.html,"Khuyến mãi hấp dẫn 1 Đặc quyền trợ giá lên đến 3 triệu khi thu cũ lên đời iPhone              Xem chi tiết2 trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng              Xem chi tiết3 Chi thêm 10K - Nhận ngay Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng              Xem chi tiết4 Giảm thêm 10% cho Pin dự phòng - Camera giám sát - Đồng hồ trẻ em - Gia dụng - Sức khỏe Làm đẹp khi mua Điện thoại/Laptop              Xem chi tiết",Xem chính sách ưu đãi dành cho thành viên Smember | Giảm đến 5.000.000đ khi thanh toán qua Kredivo | Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC | Mở thẻ VIB nhận E-Voucher đến 600K | Giảm 5% tối đa 500K khi thanh toán qua MOMO | Giảm đến 500K khi mở thẻ TPBANK EVO | Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều,,
