Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Other_promotion;Link;screenshot_name
iPhone Air 256GB;Xanh Da Trời;Yes;31990000;30890000;2025-11-23;"Khuyến mãi 1

Giảm ngay 1,100,000đ áp dụng đến 24/11

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Tặng Pin sạc dự phòng Magsafe áp dụng đến 30/11

Trả góp 0%

Khuyến mãi 2

Tặng phiếu mua hàng 1,000,000đ để mua Combo phụ kiện 


AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 4 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-air;iPhone_Air_256GB_2025-11-23_15-09-37.png
iPhone 17 256GB;Xanh Lam Khói;Yes;24990000;24990000;2025-11-23;"Khuyến mãi được hưởng

Tặng phiếu mua hàng 800,000đ để mua Combo phụ kiện 


AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 3 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-17;iPhone_17_256GB_2025-11-23_15-09-38.png
iPhone 17 Pro 256GB;Cam Vũ Trụ;Yes;34990000;34990000;2025-11-23;"Khuyến mãi được hưởng

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 3 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-17-pro;iPhone_17_Pro_256GB_2025-11-23_15-09-39.png
iPhone 17 Pro Max 256GB;Xanh Đậm;Yes;37990000;37990000;2025-11-23;"Khuyến mãi được hưởng

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 3 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-17-pro-max;iPhone_17_Pro_Max_256GB_2025-11-23_15-09-40.png
iPhone Air 512GB;Xanh Da Trời;No;38490000;35990000;2025-11-23;"Khuyến mãi 1

Giảm ngay 2,500,000đ áp dụng đến 24/11

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Tặng Pin sạc dự phòng Magsafe áp dụng đến 30/11

Trả góp 0%

Khuyến mãi 2

Tặng phiếu mua hàng 1,000,000đ để mua Combo phụ kiện 


AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 4 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-air;iPhone_Air_512GB_2025-11-23_15-09-44.png
iPhone 17 512GB;Đen;No;31490000;31490000;2025-11-23;"Khuyến mãi được hưởng

Tặng phiếu mua hàng 800,000đ để mua Combo phụ kiện 


AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 3 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-17;iPhone_17_512GB_2025-11-23_15-09-44.png
iPhone 17 Pro 512GB;Cam Vũ Trụ;Yes;41490000;41490000;2025-11-23;"Khuyến mãi được hưởng

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 3 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-17-pro;iPhone_17_Pro_512GB_2025-11-23_15-09-45.png
iPhone 17 Pro Max 512GB;Cam Vũ Trụ;Yes;44490000;44490000;2025-11-23;"Khuyến mãi được hưởng

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 3 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-17-pro-max;iPhone_17_Pro_Max_512GB_2025-11-23_15-09-45.png
iPhone Air 1TB;Vàng Nhạt;Yes;44990000;41490000;2025-11-23;"Khuyến mãi 1

Giảm ngay 3,500,000đ áp dụng đến 24/11

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Tặng Pin sạc dự phòng Magsafe áp dụng đến 30/11

Trả góp 0%

Khuyến mãi 2

Tặng phiếu mua hàng 1,000,000đ để mua Combo phụ kiện 


AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 4 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-air;iPhone_Air_1TB_2025-11-23_15-09-47.png
iPhone 17 Pro 1TB;Cam Vũ Trụ;Yes;47990000;47990000;2025-11-23;"Khuyến mãi được hưởng

AirPods giảm đến 500,000đ khi mua kèm iPhone 


Trả góp 0%";"Khuyến mãi thanh toán

Xem tất cả

Giảm ngay 500,000đ qua VNPAY khi mua iPhone 17 series và iPhone Air 

HSD: 31/12/2025";"Quà tặng và ưu đãi khác

Tặng Phiếu mua hàng 500,000đ mua Bảo hành trọn đời khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Tặng phiếu mua hàng 200,000đ mua Tivi Samsung 

Tặng Phiếu mua hàng 500,000đ mua Combo Chuẩn/Combo iFan khi mua trả góp qua FE CREDIT (áp dụng 0.99% lãi suất – Kỳ hạn 12 tháng) 

Xem thêm 3 ưu đãi khác";https://fptshop.com.vn/dien-thoai/iphone-17-pro;iPhone_17_Pro_1TB_2025-11-23_15-09-47.png
