Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Link;Tech_Specs;screenshot_name
Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;Titan tự nhiên;No;0;0;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s10-lte-46mm-vien-titanium-day-the-thao;"Màn hình
Công nghệ màn hình:
OLED
Kích thước màn hình:
Hãng không công bố
Độ phân giải:
416 x 496 pixels
Kích thước mặt:
46 mm
Thiết kế
Tiện ích
Pin
Cấu hình & Kết nối
Thông tin khác";DEBUG_OOS_Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao_Titan tự nhiên_221021.png
Apple Watch SE 3 GPS 40mm viền nhôm dây thể thao;40mm;Yes;6990000;6790000;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao;"Màn hình
Thiết kế
Tiện ích
Pin
Cấu hình & Kết nối
Thông tin khác
Sản xuất tại:
Đang cập nhật
Thời gian ra mắt:
09/2025
Ngôn ngữ:
Tiếng Việt
Tiếng Anh
Hãng:
Apple. Xem thông tin hãng";Skipped
Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;Bạc;No;0;0;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-silicone;"Màn hình
Thiết kế
Tiện ích
Môn thể thao:
Đi bộ
Yoga
Chạy bộ
Bơi lội
Đạp xe
Hỗ trợ nghe gọi:
Nghe gọi ngay trên đồng hồ
Tiện ích đặc biệt:
Phát hiện té ngã
Kết nối bluetooth với tai nghe
Chống nước / Kháng nước:
Chống nước 5 ATM - ISO 22810:2010 (Tắm, bơi vùng nước nông)
Theo dõi sức khoẻ:
Gửi thông báo khi có tai nạn
Tính quãng đường chạy
Tính lượng calories tiêu thụ
Theo dõi giấc ngủ
Theo dõi mức độ stress
Theo dõi chu kỳ kinh nguyệt
Nhắc nhở nhịp tim cao, thấp
Đo nhịp tim
Đếm số bước chân
Tiện ích khác:
Nâng cổ tay sáng màn hình
Màn hình cảm ứng
Đồng hồ bấm giờ
Điều khiển chụp ảnh
Điều khiển chơi nhạc
Từ chối cuộc gọi
Tìm điện thoại
Thay mặt đồng hồ
Rung thông báo
La bàn
Dự báo thời tiết
Cuộc gọi khẩn cấp SOS
Báo thức
Ứng dụng Chú Tâm (Mindfulness)
Loa và mic thế hệ thứ hai
Chuyển vùng quốc tế
Bài tập Gym và Fitness (Cardio, HIIT, Pilates,...)
Apple Pay
Ngăn xếp thông minh (Smart Stack)
Hiển thị thông báo:
Line
Messenger (Facebook)
Viber
Zalo
Tin nhắn
Cuộc gọi
Pin
Cấu hình & Kết nối
CPU:
Apple S8
Bộ nhớ trong:
32 GB
Hệ điều hành:
watchOS phiên bản mới nhất
Kết nối được với hệ điều hành:
iPhone Xs trở lên, sử dụng iOS phiên bản mới nhất
Ứng dụng quản lý:
Watch
Kết nối:
Bluetooth v5.3
GPS
Wifi
Cảm biến:
Cảm biến ánh sáng môi trường
Con quay hồi chuyển dải động cao
Cảm biến nhịp tim quang học thế hệ 2
Cao áp kế
Gia tốc kế
La bàn
Định vị:
GLONASS
GPS
QZSS
Galileo
Thông tin khác
Sản xuất tại:
Trung Quốc
Thời gian ra mắt:
09/2024
Ngôn ngữ:
Tiếng Việt
Tiếng Anh
Hãng:
Apple. Xem thông tin hãng
 Hướng Dẫn Sử Dụng Tiếng Anh [PDF, 21.9MB]";DEBUG_OOS_Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao_Bạc_221026.png
Apple Watch SE 2 GPS 44mm viền nhôm dây vải;Bạc;No;0;0;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-vai;"Màn hình
Thiết kế
Chất liệu mặt:
Ion-X strengthened glass
Chất liệu khung viền:
Hợp kim nhôm
Chất liệu dây:
Dây vải
Độ rộng dây:
Hãng không công bố
Chu vi cổ tay phù hợp:
16 - 21 cm (Size M/L)
Khả năng thay dây:
Có
Kích thước, khối lượng:
Dài 44 mm - Ngang 38 mm - Dày 10.7 mm - Nặng 32.9 g
Tiện ích
Pin
Thời gian sử dụng pin:
Khoảng 18 giờ (ở chế độ sử dụng thông thường)
Thời gian sạc:
Hãng không công bố
Dung lượng pin:
Hãng không công bố
Cổng sạc:
Đế sạc nam châm
Cấu hình & Kết nối
Thông tin khác
Sản xuất tại:
Trung Quốc
Thời gian ra mắt:
09/2024
Ngôn ngữ:
Tiếng Việt
Tiếng Anh
Hãng:
Apple. Xem thông tin hãng
 Hướng Dẫn Sử Dụng Tiếng Anh [PDF, 21.9MB]";DEBUG_OOS_Apple Watch SE 2 GPS 44mm viền nhôm dây vải_Bạc_221120.png
Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây Milan;Default/Unknown;Yes;22190000;17690000;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s10-lte-46mm-vien-titanium-day-thep;"Màn hình
Công nghệ màn hình:
OLED
Kích thước màn hình:
Hãng không công bố
Độ phân giải:
416 x 496 pixels
Kích thước mặt:
46 mm
Thiết kế
Chất liệu mặt:
Kính Sapphire
Chất liệu khung viền:
Titanium
Chất liệu dây:
Thép không gỉ
Độ rộng dây:
Hãng không công bố
Chu vi cổ tay phù hợp:
15 - 20 cm (Size M/L)
Khả năng thay dây:
Có
Kích thước, khối lượng:
Dài 46 mm - Ngang 39 mm - Dày 9.7 mm - Nặng 41.7 g
Tiện ích
Môn thể thao:
Đi bộ
Yoga
Chạy bộ
Bơi lội
Đạp xe
Ba môn phối hợp (Triathlon)
Golf
Trượt tuyết
Chèo thuyền
Sim:
eSIM
Hỗ trợ nghe gọi:
Nghe gọi độc lập
Tiện ích đặc biệt:
Màn hình luôn hiển thị
Phát hiện té ngã
Nghe nhạc
Kết nối bluetooth với tai nghe
Chống nước / Kháng nước:
Chống nước 5 ATM - ISO 22810:2010 (Tắm, bơi vùng nước nông)
Theo dõi sức khoẻ:
Điện tâm đồ
Đo nồng độ oxy (SpO2)
Ước tính ngày rụng trứng
Vùng nhịp tim
Theo dõi Nồng độ oxy trong máu 24h
Theo dõi nhịp thở 24/7
Cảnh báo ngưng thở khi ngủ
Chấm điểm giấc ngủ
Tính quãng đường chạy
Theo dõi nhịp tim 24h
Theo dõi mức độ căng thẳng 24h
Tính lượng calories tiêu thụ
Theo dõi giấc ngủ
Theo dõi chu kỳ kinh nguyệt
Nhắc nhở nhịp tim cao, thấp
Đo nhịp tim
Đếm số bước chân
Tiện ích khác:
Tính năng Family Setup
Trợ lý giọng nói
Nâng cổ tay sáng màn hình
Màn hình cảm ứng
Đồng hồ bấm giờ
Điều khiển chụp ảnh
Điều khiển chơi nhạc
Từ chối cuộc gọi
Tìm điện thoại
Thay mặt đồng hồ
Rung thông báo
Dự báo thời tiết
Cuộc gọi khẩn cấp SOS
Báo thức
Ứng dụng Tiếng Ồn
Ứng dụng Thuốc
Ứng dụng Sinh Hiệu
Ứng dụng Chú Tâm (Mindfulness)
Vòng hoạt động
Thủy triều
Phát hiện va chạm
Loa và mic thế hệ thứ hai
Khối lượng tập luyện
Chạm hai lần (Double Tap)
Bài tập Gym và Fitness (Cardio, HIIT, Pilates,...)
Apple Pay
Ngăn xếp thông minh (Smart Stack)
Sạc nhanh
Hiển thị thông báo:
Line
Messenger (Facebook)
Viber
Zalo
Tin nhắn
Cuộc gọi
Pin
Thời gian sử dụng pin:
Khoảng 18 giờ (ở chế độ sử dụng thông thường)
Khoảng 36 giờ (ở chế độ Năng lượng thấp)
Thời gian sạc:
Hãng không công bố
Dung lượng pin:
Hãng không công bố
Cổng sạc:
Đế sạc nam châm
Cấu hình & Kết nối
CPU:
Apple S10 SiP
Bộ nhớ trong:
64 GB
Hệ điều hành:
watchOS phiên bản mới nhất
Kết nối được với hệ điều hành:
iPhone Xs trở lên, sử dụng iOS phiên bản mới nhất
Ứng dụng quản lý:
Watch
Kết nối:
Bluetooth v5.3
NFC
Cảm biến:
Cảm biến nhiệt độ nước
Cảm biến ánh sáng môi trường
Gia tốc kế lực G cao
Cảm biến nhiệt độ
Con quay hồi chuyển dải động cao
Cảm biến điện học (ECG)
Cảm biến độ sâu
Cảm biến nhịp tim quang học thế hệ 3
Cao áp kế
La bàn
Đo SpO2
Định vị:
Beidou
GLONASS
GPS
QZSS
Galileo
Thông tin khác
Sản xuất tại:
Trung Quốc
Thời gian ra mắt:
09/2024
Ngôn ngữ:
Tiếng Việt
Tiếng Anh
Hãng:
Apple. Xem thông tin hãng";Skipped
Apple Watch SE 3 GPS 44mm viền nhôm dây thể thao;44mm;Yes;7850000;7690000;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao;"Màn hình
Thiết kế
Tiện ích
Môn thể thao:
Đi bộ
Yoga
Chạy bộ
Bơi lội
Đạp xe
Hỗ trợ nghe gọi:
Nghe gọi ngay trên đồng hồ
Tiện ích đặc biệt:
Phát hiện té ngã
Kết nối bluetooth với tai nghe
Chống nước / Kháng nước:
Chống nước 5 ATM - ISO 22810:2010 (Tắm, bơi vùng nước nông)
Theo dõi sức khoẻ:
Gửi thông báo khi có tai nạn
Ước tính ngày rụng trứng
Cảnh báo ngưng thở khi ngủ
Tính quãng đường chạy
Tính lượng calories tiêu thụ
Theo dõi giấc ngủ
Theo dõi mức độ stress
Theo dõi chu kỳ kinh nguyệt
Nhắc nhở nhịp tim cao, thấp
Đo nhịp tim
Đếm số bước chân
Tiện ích khác:
Nâng cổ tay sáng màn hình
Màn hình cảm ứng
Đồng hồ bấm giờ
Điều khiển chụp ảnh
Điều khiển chơi nhạc
Từ chối cuộc gọi
Tìm điện thoại
Thay mặt đồng hồ
Rung thông báo
Phát hiện té ngã
La bàn
Dự báo thời tiết
Cuộc gọi khẩn cấp SOS
Báo thức
Đèn pin
Ứng dụng Tiếng Ồn
Ứng dụng Thuốc
Ứng dụng Chú Tâm (Mindfulness)
Tính năng Workout Buddy
Phát hiện va chạm
Loa và mic thế hệ thứ hai
Cử chỉ lắc cổ tay
Chuyển vùng quốc tế
Bản đồ ngoại tuyến
Bài tập Gym và Fitness (Cardio, HIIT, Pilates,...)
Apple Pay
Ngăn xếp thông minh (Smart Stack)
Hiển thị thông báo:
Line
Messenger (Facebook)
Viber
Zalo
Tin nhắn
Cuộc gọi
Pin
Thời gian sử dụng pin:
Khoảng 18 giờ (ở chế độ sử dụng thông thường)
Khoảng 32 giờ ở chế độ tiết kiệm pin
Thời gian sạc:
Hãng không công bố
Dung lượng pin:
Hãng không công bố
Cổng sạc:
Đế sạc nam châm
Cấu hình & Kết nối
Thông tin khác
Sản xuất tại:
Đang cập nhật
Thời gian ra mắt:
09/2025
Ngôn ngữ:
Tiếng Việt
Tiếng Anh
Hãng:
Apple. Xem thông tin hãng";Skipped
Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;Titan xám;No;0;0;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s10-lte-46mm-vien-titanium-day-the-thao;"Màn hình
Thiết kế
Chất liệu mặt:
Kính Sapphire
Chất liệu khung viền:
Titanium
Chất liệu dây:
Cao su
Độ rộng dây:
Hãng không công bố
Chu vi cổ tay phù hợp:
16 - 21 cm (Size M/L)
Khả năng thay dây:
Có
Kích thước, khối lượng:
Dài 46 mm - Ngang 39 mm - Dày 9.7 mm - Nặng 41.7 g
Tiện ích
Môn thể thao:
Đi bộ
Yoga
Chạy bộ
Bơi lội
Đạp xe
Ba môn phối hợp (Triathlon)
Golf
Trượt tuyết
Chèo thuyền
Sim:
eSIM
Hỗ trợ nghe gọi:
Nghe gọi độc lập
Tiện ích đặc biệt:
Màn hình luôn hiển thị
Phát hiện té ngã
Nghe nhạc
Kết nối bluetooth với tai nghe
Chống nước / Kháng nước:
Chống nước 5 ATM - ISO 22810:2010 (Tắm, bơi vùng nước nông)
Theo dõi sức khoẻ:
Điện tâm đồ
Đo nồng độ oxy (SpO2)
Ước tính ngày rụng trứng
Vùng nhịp tim
Theo dõi Nồng độ oxy trong máu 24h
Theo dõi nhịp thở 24/7
Cảnh báo ngưng thở khi ngủ
Chấm điểm giấc ngủ
Tính quãng đường chạy
Theo dõi nhịp tim 24h
Theo dõi mức độ căng thẳng 24h
Tính lượng calories tiêu thụ
Theo dõi giấc ngủ
Theo dõi chu kỳ kinh nguyệt
Nhắc nhở nhịp tim cao, thấp
Đo nhịp tim
Đếm số bước chân
Tiện ích khác:
Tính năng Family Setup
Trợ lý giọng nói
Nâng cổ tay sáng màn hình
Màn hình cảm ứng
Đồng hồ bấm giờ
Điều khiển chụp ảnh
Điều khiển chơi nhạc
Từ chối cuộc gọi
Tìm điện thoại
Thay mặt đồng hồ
Rung thông báo
Dự báo thời tiết
Cuộc gọi khẩn cấp SOS
Báo thức
Ứng dụng Tiếng Ồn
Ứng dụng Thuốc
Ứng dụng Sinh Hiệu
Ứng dụng Chú Tâm (Mindfulness)
Vòng hoạt động
Thủy triều
Phát hiện va chạm
Loa và mic thế hệ thứ hai
Khối lượng tập luyện
Chạm hai lần (Double Tap)
Bài tập Gym và Fitness (Cardio, HIIT, Pilates,...)
Apple Pay
Ngăn xếp thông minh (Smart Stack)
Sạc nhanh
Hiển thị thông báo:
Line
Messenger (Facebook)
Viber
Zalo
Tin nhắn
Cuộc gọi
Pin
Thời gian sử dụng pin:
Khoảng 18 giờ (ở chế độ sử dụng thông thường)
Khoảng 36 giờ (ở chế độ Năng lượng thấp)
Thời gian sạc:
Hãng không công bố
Dung lượng pin:
Hãng không công bố
Cổng sạc:
Đế sạc nam châm
Cấu hình & Kết nối
Thông tin khác";DEBUG_OOS_Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao_Titan xám_221522.png
Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;Xanh đen;No;0;0;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-silicone;"Màn hình
Công nghệ màn hình:
OLED
Kích thước màn hình:
Hãng không công bố
Độ phân giải:
448 x 368 pixels
Kích thước mặt:
44 mm
Thiết kế
Tiện ích
Môn thể thao:
Đi bộ
Yoga
Chạy bộ
Bơi lội
Đạp xe
Hỗ trợ nghe gọi:
Nghe gọi ngay trên đồng hồ
Tiện ích đặc biệt:
Phát hiện té ngã
Kết nối bluetooth với tai nghe
Chống nước / Kháng nước:
Chống nước 5 ATM - ISO 22810:2010 (Tắm, bơi vùng nước nông)
Theo dõi sức khoẻ:
Gửi thông báo khi có tai nạn
Tính quãng đường chạy
Tính lượng calories tiêu thụ
Theo dõi giấc ngủ
Theo dõi mức độ stress
Theo dõi chu kỳ kinh nguyệt
Nhắc nhở nhịp tim cao, thấp
Đo nhịp tim
Đếm số bước chân
Tiện ích khác:
Nâng cổ tay sáng màn hình
Màn hình cảm ứng
Đồng hồ bấm giờ
Điều khiển chụp ảnh
Điều khiển chơi nhạc
Từ chối cuộc gọi
Tìm điện thoại
Thay mặt đồng hồ
Rung thông báo
La bàn
Dự báo thời tiết
Cuộc gọi khẩn cấp SOS
Báo thức
Ứng dụng Chú Tâm (Mindfulness)
Loa và mic thế hệ thứ hai
Chuyển vùng quốc tế
Bài tập Gym và Fitness (Cardio, HIIT, Pilates,...)
Apple Pay
Ngăn xếp thông minh (Smart Stack)
Hiển thị thông báo:
Line
Messenger (Facebook)
Viber
Zalo
Tin nhắn
Cuộc gọi
Pin
Cấu hình & Kết nối
Thông tin khác
 Hướng Dẫn Sử Dụng Tiếng Anh [PDF, 21.9MB]";DEBUG_OOS_Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao_Xanh đen_221558.png
Apple Watch SE 3 GPS + Cellular 40mm viền nhôm dây thể thao;Trắng Starlight;Yes;0;8390000;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-gps-cellular-40mm-vien-nhom-day-the-thao;"Màn hình
Thiết kế
Tiện ích
Pin
Thời gian sử dụng pin:
Khoảng 18 giờ (ở chế độ sử dụng thông thường)
Khoảng 32 giờ ở chế độ tiết kiệm pin
Thời gian sạc:
Hãng không công bố
Dung lượng pin:
Hãng không công bố
Cổng sạc:
Đế sạc nam châm
Cấu hình & Kết nối
Thông tin khác";Skipped
Apple Watch SE 2 GPS 44mm viền nhôm dây vải;Xanh đen;No;0;0;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-vai;"Màn hình
Thiết kế
Tiện ích
Pin
Thời gian sử dụng pin:
Khoảng 18 giờ (ở chế độ sử dụng thông thường)
Thời gian sạc:
Hãng không công bố
Dung lượng pin:
Hãng không công bố
Cổng sạc:
Đế sạc nam châm
Cấu hình & Kết nối
CPU:
Apple S8
Bộ nhớ trong:
32 GB
Hệ điều hành:
watchOS phiên bản mới nhất
Kết nối được với hệ điều hành:
iPhone Xs trở lên, sử dụng iOS phiên bản mới nhất
Ứng dụng quản lý:
Watch
Kết nối:
Bluetooth v5.3
GPS
Wifi
Cảm biến:
Cảm biến ánh sáng môi trường
Con quay hồi chuyển dải động cao
Cảm biến nhịp tim quang học thế hệ 2
Cao áp kế
Gia tốc kế
La bàn
Định vị:
GLONASS
GPS
QZSS
Galileo
Thông tin khác
Sản xuất tại:
Trung Quốc
Thời gian ra mắt:
09/2024
Ngôn ngữ:
Tiếng Việt
Tiếng Anh
Hãng:
Apple. Xem thông tin hãng
 Hướng Dẫn Sử Dụng Tiếng Anh [PDF, 21.9MB]";DEBUG_OOS_Apple Watch SE 2 GPS 44mm viền nhôm dây vải_Xanh đen_221702.png
Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao;Titan vàng;No;0;0;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s10-lte-46mm-vien-titanium-day-the-thao;"Màn hình
Công nghệ màn hình:
OLED
Kích thước màn hình:
Hãng không công bố
Độ phân giải:
416 x 496 pixels
Kích thước mặt:
46 mm
Thiết kế
Tiện ích
Pin
Cấu hình & Kết nối
Thông tin khác";DEBUG_OOS_Apple Watch Series 10 GPS + Cellular 46mm viền Titanium dây thể thao_Titan vàng_222239.png
Apple Watch SE 3 GPS + Cellular 40mm viền nhôm dây thể thao;Xanh đen;Yes;8490000;8390000;2026-01-31;;;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-gps-cellular-40mm-vien-nhom-day-the-thao;"Màn hình
Công nghệ màn hình:
OLED
Kích thước màn hình:
Hãng không công bố
Độ phân giải:
324 x 394 pixels
Kích thước mặt:
40 mm
Thiết kế
Tiện ích
Pin
Cấu hình & Kết nối
Thông tin khác";Skipped
