Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Link;Tech_Specs;screenshot_name
Tai nghe Bluetooth Apple AirPods Pro 3 2025 Type-C (MFHP4ZP/A);Trắng;Yes;6790000;6590000;2026-02-01;;"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/apple-airpods-pro-3.html;"Thông số kỹ thuật
Xem tất cả
Kích thước	

Tai Nghe: 30,9 x 19,2 x 27,0 mm
Hộp Sạc: 47,2 mm x 62,2 x 21,8 mm


Trọng lượng	

Tai Nghe: 5,55 gram
Hộp Sạc + Tai Nghe: 43,99 gram


Công nghệ âm thanh	

Trình điều khiển Apple với độ lệch tương phản cao có thể tùy chỉnh
Bộ khuếch đại với độ lệch tương phản cao có thể tùy chỉnh
Chủ Động Khử Tiếng Ồn tai bạn chưa từng nghe
Âm Thanh Thích Ứng
Chế độ Xuyên Âm
Nhận Biết Cuộc Hội Thoại


Micro	

Có


Cổng kết nối	

Type C


Thời lượng sử dụng Pin	

Tai nghe: lên đến 8 giờ
Tai nghe + hộp sạc: lên đến 24 giờ


Phương thức điều khiển	

Cảm ứng chạm


Tính năng khác	

Kiểm tra thính giác
Thiết bị trợ thính
Giảm âm thanh lớn
Cảm biến theo dõi nhịp tim khi tập luyện
Chống bụi, chống mồ hôi và chống nước (IP57)


Chipset	

Chip Apple H2


Hãng sản xuất	

Apple Chính hãng";
Tai nghe Bluetooth Apple AirPods 4 chống ồn chủ động;Trắng;Yes;4990000;4290000;2026-02-01;;"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/apple-airpods-4-chong-on-chu-dong.html;"Thông số kỹ thuật
Xem tất cả
Kích thước	

Tai nghe: 30.2 x 18.3 x 18.1 mm
Hộp sạc: 46.2 x 50.1 x 21.2 mm


Trọng lượng	

Tai nghe: 4.3g
Hộp sạc: 34.7g


Công nghệ âm thanh	

Trình điều khiển Apple với độ lệch tương phản cao có thể tùy chỉnh
Bộ khuếch đại với độ lệch tương phản cao có thể tùy chỉnh
Chủ động khử tiếng ồn
Chế độ xuyên âm
Nhận Biết Cuộc Hội Thoại
Tách Lời Nói
Chế độ Âm Thanh Không Gian Cá N


Micro	

Có


Thời lượng sử dụng Pin	

Thời gian nghe lên đến 4 giờ với một lần sạc khi bật tính năng Chủ Động Khử Tiếng Ồn
Thời gian nghe lên đến 5 giờ với một lần sạc khi tắt kiểm soát tiếng ồn
Thời gian đàm thoại lên đến 4,5 giờ với một lần sạc


Phương thức điều khiển	

Cảm biến lực


Chipset	

Chip tai nghe H2


Hãng sản xuất	

Apple Chính hãng";
iPhone 14 256GB;Đen;Yes;18990000;16290000;2026-02-01;"Khuyến mãi hấp dẫn
1
Đặc quyền trợ giá lên đến 3 triệu khi thu cũ lên đời iPhone   Xem chi tiết
2
trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng   Xem chi tiết
3
Tặng Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng   Xem chi tiết
4
Giảm thêm 10% cho Loa, Tai nghe, Máy tính bàn, TV (từ 10 triệu) khi mua Điện thoại/Laptop   Xem chi tiết";"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/iphone-14-256gb.html;"Thông số kỹ thuật
Xem tất cả
Kích thước màn hình	

6.1 inches


Công nghệ màn hình	

OLED


Camera sau	

Camera góc rộng: 12MP, ƒ/1.5
Camera góc siêu rộng: 12MP, ƒ/2.4


Camera trước	

12MP, ƒ/1.9


Chipset	

Apple A15 Bionic 6 nhân


Công nghệ NFC	

Có


Dung lượng RAM	

6 GB


Bộ nhớ trong	

256 GB


Pin	

3279 mAh


Thẻ SIM	

2 SIM (nano‑SIM và eSIM)


Hệ điều hành	

iOS 16


Độ phân giải màn hình	

2532 x 1170 pixels


Tính năng màn hình	

Tần số quét 60Hz, 1200 nits, Kính cường lực Ceramic Shield, Super Retina XDR


Loại CPU	

3.22 GHz";
iPhone 12 Pro Max 128GB;Bạc;No;28990000;23490000;2026-02-01;;"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/iphone-12-pro-max.html;"Thông số kỹ thuật
Xem tất cả
Kích thước màn hình	

6.7 inches


Công nghệ màn hình	

Super Retina XDR OLED, HDR10, Dolby Vision, Wide color gamut, True-tone


Công nghệ màn hình	

OLED


Camera sau	

Camera chính: 12 MP, f/1.6, 26mm, 1.4µm, dual pixel PDAF, OIS
Camera tele: 12 MP, f/2.0, 52mm, 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom
Camera góc siêu rộng: 12 MP, f/2.4, 120˚, 13mm, 1/3.6""
Cảm biến: TOF 3D LiDAR scanner


Camera trước	

12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)


Chipset	

Apple A14 Bionic (5 nm)


Công nghệ NFC	

Có


Dung lượng RAM	

6 GB


Bộ nhớ trong	

128 GB


Pin	

Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0


Thẻ SIM	

2 SIM (nano‑SIM và eSIM)


Hệ điều hành	

iOS 14.1 hoặc cao hơn (Tùy vào phiên bản phát hành)


Độ phân giải màn hình	

1284 x 2778 pixels


Tính năng màn hình	

HDR10
Dolby Vision
True-tone
Độ sáng 800 nits


Loại CPU	

Hexa-core


Cảm biến	

Face ID, cảm biến gia tốc, cảm biến tiệm cận, con quay hồi chuyển, cảm biên sáng";
Tai nghe Bluetooth Apple AirPods 4;Trắng;Yes;3790000;2990000;2026-02-01;;"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/apple-airpods-4.html;"Thông số kỹ thuật
Xem tất cả
Kích thước	

Tai nghe: 30.2 x 18.3 x 18.1 mm
Hộp sạc: 46.2 x 50.1 x 21.2 mm


Trọng lượng	

Tai nghe: 4.3g
Hộp sạc: 32.3g


Công nghệ âm thanh	

Trình điều khiển Apple với độ lệch tương phản cao có thể tùy chỉnh
Bộ khuếch đại với độ lệch tương phản cao có thể tùy chỉnh
Tách Lời Nói
Chế độ Âm Thanh Không Gian Cá Nhân Hóa với tính năng theo dõi chuyển động đầu chủ động
EQ Thích Ứng H


Micro	

Có


Thời lượng sử dụng Pin	

Thời gian nghe lên đến 5 giờ với một lần sạc
Thời gian đàm thoại lên đến 4,5 giờ với một lần sạc


Phương thức điều khiển	

Cảm biến lực


Chipset	

Chip tai nghe H2


Hãng sản xuất	

Apple Chính hãng";
iPhone 14 Pro Max 128GB;Bạc;No;29990000;25590000;2026-02-01;"Khuyến mãi hấp dẫn
1
trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng   Xem chi tiết
2
Giảm ngay 5% tối đa 500k mua Apple Watch/Airpods khi mua iPhone   Xem chi tiết
3
Tặng Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng   Xem chi tiết
4
Giảm thêm 10% cho Loa, Tai nghe, PC, Điện máy (từ 10 triệu), Tablet khi mua Điện thoại/Laptop   Xem chi tiết";"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/iphone-14-pro-max.html;"Thông số kỹ thuật
Xem tất cả
Kích thước màn hình	

6.7 inches


Công nghệ màn hình	

Super Retina XDR OLED


Camera sau	

Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF
Camera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR


Camera trước	

Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF


Chipset	

Apple A16 Bionic 6-core


Công nghệ NFC	

Có


Dung lượng RAM	

6 GB


Bộ nhớ trong	

128 GB


Pin	

4.323 mAh


Thẻ SIM	

2 SIM (nano‑SIM và eSIM)


Hệ điều hành	

iOS 16


Độ phân giải màn hình	

2796 x 1290-pixel


Tính năng màn hình	

120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits


Loại CPU	

CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện";
iPhone 13 128GB;Hồng;Yes;13990000;12090000;2026-02-01;"Khuyến mãi hấp dẫn
1
trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng   Xem chi tiết
2
Đặc quyền trợ giá lên đến 3 triệu khi thu cũ lên đời iPhone   Xem chi tiết
3
Giảm ngay 5% tối đa 500k mua Apple Watch/Airpods khi mua iPhone   Xem chi tiết
4
Tặng Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng   Xem chi tiết
5
Giảm thêm 10% cho Loa, Tai nghe, PC, Điện máy (từ 10 triệu), Tablet khi mua Điện thoại/Laptop   Xem chi tiết";"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/iphone-13.html;"Thông số kỹ thuật
Xem tất cả
Kích thước màn hình	

6.1 inches


Công nghệ màn hình	

Super Retina XDR OLED


Camera sau	

Camera góc rộng: 12MP, f/1.6
Camera góc siêu rộng: 12MP, ƒ/2.4


Camera trước	

12MP, f/2.2


Chipset	

Apple A15


Công nghệ NFC	

Có


Dung lượng RAM	

4 GB


Bộ nhớ trong	

128 GB


Pin	

3240mAh


Thẻ SIM	

2 SIM (nano‑SIM và eSIM)


Hệ điều hành	

iOS 15


Độ phân giải màn hình	

2532 x 1170 pixels


Tính năng màn hình	

Màn hình super Retina XDR, OLED, 460 ppi, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay


Loại CPU	

3.22 GHz";
Tai nghe Bluetooth Apple AirPods Pro 2 2023 USB-C;Trắng;Yes;6190000;4950000;2026-02-01;;"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/apple-airpods-pro-2-usb-c.html;"Thông số kỹ thuật
Xem tất cả
Công nghệ âm thanh	

Active Noise Cancellation
Chip Apple H2
Adaptive EQ


Micro	

Có


Phương thức điều khiển	

Cảm ứng chạm


Hãng sản xuất	

Apple Chính hãng";
iPhone 14 Pro Max 128GB;Đen;No;29990000;25590000;2026-02-01;"Khuyến mãi hấp dẫn
1
trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng   Xem chi tiết
2
Giảm ngay 5% tối đa 500k mua Apple Watch/Airpods khi mua iPhone   Xem chi tiết
3
Tặng Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng   Xem chi tiết
4
Giảm thêm 10% cho Loa, Tai nghe, PC, Điện máy (từ 10 triệu), Tablet khi mua Điện thoại/Laptop   Xem chi tiết";"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/iphone-14-pro-max.html;;
iPhone 14 256GB;Đen;Yes;18990000;16290000;2026-02-01;"Khuyến mãi hấp dẫn
1
Đặc quyền trợ giá lên đến 3 triệu khi thu cũ lên đời iPhone   Xem chi tiết
2
trả góp 0% lãi suất, tối đa 12 tháng, trả trước từ 10% qua CTTC hoặc 0đ qua thẻ tín dụng   Xem chi tiết
3
Tặng Sim/Esim VNSKY, có ngay 5GB data 5G/ngày, miễn phí 30 ngày đầu - chỉ áp dụng tại cửa hàng   Xem chi tiết
4
Giảm thêm 10% cho Loa, Tai nghe, Máy tính bàn, TV (từ 10 triệu) khi mua Điện thoại/Laptop   Xem chi tiết";"Ưu đãi thanh toán
Xem chính sách ưu đãi dành cho thành viên Smember
 Giảm đến 5.000.000đ khi thanh toán qua Kredivo
 Hoàn tiền đến 2 triệu khi mở thẻ tín dụng HSBC
 Giảm đến 1 triệu khi thanh toán qua thẻ tín dụng ACB
Mở thẻ VIB nhận E-Voucher đến 600K
Giảm 500K khi thanh toán bằng thẻ tín dụng Sacombank
 Giảm đến 500K khi mở thẻ TPBANK EVO
Liên hệ B2B để được tư vấn giá tốt nhất cho khách hàng doanh nghiệp khi mua số lượng nhiều";https://cellphones.com.vn/iphone-14-256gb.html;;
