Channel,Product Name,Color,2025-12-20-SAT,2025-12-23-TUE,Diff_2025-12-20-SAT_to_2025-12-23-TUE
CPS,Apple Mac Studio M4 Max 2025 14CPU 32GPU 36GB 512GB,Bạc,,54990000,
CPS,Apple MacBook Air 13 256GB 2020,Bạc,23020000,23020000,0
CPS,Apple MacBook Air 13 256GB 2020,Vàng,23020000,23020000,0
CPS,Apple MacBook Air 13 256GB 2020,Xám,23020000,23020000,0
CPS,Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB,Bạc,19690000,19490000,-200000
CPS,Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB,Trắng vàng,19690000,19790000,100000
CPS,Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB,Xám,19490000,19490000,0
CPS,Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB,Đen,19690000,19690000,0
CPS,Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su,Bạc,,4990000,
CPS,Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su,Trắng vàng,4990000,4990000,0
CPS,Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su,Đen,4990000,4990000,0
CPS,"Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao SuGiá tốt, trả góp 0%",Bạc,4990000,,
CPS,Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su,Bạc,5890000,5590000,-300000
CPS,Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su,Trắng vàng,5890000,5590000,-300000
CPS,Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su,Đen,5890000,5890000,0
CPS,Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size M/L,Ánh sao - Dây trắng,7590000,7690000,100000
CPS,Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size M/L,Đêm xanh thẳm - Dây đen,7590000,7590000,0
CPS,Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size S/M,Ánh sao - Dây trắng,7590000,7690000,100000
CPS,Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size S/M,Đêm xanh thẳm - Dây đen,7590000,7590000,0
CPS,Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Ánh sao - Dây trắng,5690000,5690000,0
CPS,Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Đêm xanh thẳm - Dây đen,5690000,5590000,-100000
CPS,Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Ánh sao - Dây trắng,5590000,5690000,100000
CPS,Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Đêm xanh thẳm - Dây đen,5590000,5590000,0
CPS,Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size M/L,Ánh sao - Dây trắng,8790000,8490000,-300000
CPS,Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size M/L,Đêm xanh thẳm - Dây đen,8790000,8790000,0
CPS,Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size S/M,Ánh sao - Dây trắng,8790000,8790000,0
CPS,Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size S/M,Đêm xanh thẳm - Dây đen,8790000,8790000,0
CPS,Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Ánh sao - Dây trắng,7190000,7190000,0
CPS,Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Đêm xanh thẳm - Dây đen,7190000,7190000,0
CPS,Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Ánh sao - Dây trắng,7190000,7190000,0
CPS,Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Đêm xanh thẳm - Dây đen,7190000,7190000,0
CPS,Apple Watch Series 10 42mm (GPS) Viền Nhôm - Dây Vải,Màu mận,8490000,8490000,0
CPS,Apple Watch Series 10 42mm (GPS) Viền Nhôm - Dây Vải,Xanh nhạt,8490000,8490000,0
CPS,Apple Watch Series 10 42mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Bạc,8490000,8490000,0
CPS,Apple Watch Series 10 42mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Hồng,8490000,8490000,0
CPS,Apple Watch Series 10 42mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Đen,8490000,8490000,0
CPS,Apple Watch Series 10 42mm 4G Viền Titan Dây Cao Su Size S/M,Titan Tự Nhiên,16990000,16990000,0
CPS,Apple Watch Series 10 42mm 4G Viền Titan Dây Cao Su Size S/M,Titan Vàng,16990000,16990000,0
CPS,Apple Watch Series 10 42mm 4G Viền Titan Dây Cao Su Size S/M,Titan Đen,16990000,15990000,-1000000
CPS,Apple Watch Series 10 42mm 4G Viền Titan Dây Thép,Titan Tự Nhiên,18490000,18490000,0
CPS,Apple Watch Series 10 42mm 4G Viền Titan Dây Thép,Titan Vàng,18490000,18490000,0
CPS,Apple Watch Series 10 42mm 4G Viền Titan Dây Thép,Titan Đen,18490000,18490000,0
CPS,Apple Watch Series 10 46mm (GPS) Viền Nhôm - Dây Vải,Tím mực,10490000,10490000,0
CPS,Apple Watch Series 10 46mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Bạc,10490000,10490000,0
CPS,Apple Watch Series 10 46mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Hồng,10490000,10490000,0
CPS,Apple Watch Series 10 46mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Đen,10490000,10490000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Cao Su Size M/L,Titan Tự Nhiên,18590000,18590000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Cao Su Size M/L,Titan Vàng,18590000,17590000,-1000000
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Cao Su Size M/L,Titan Đen,18590000,17590000,-1000000
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Cao Su Size S/M,Titan Tự Nhiên,17590000,18590000,1000000
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Cao Su Size S/M,Titan Vàng,17590000,17590000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Cao Su Size S/M,Titan Đen,17590000,17590000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size M/L,Titan Tự nhiên,18490000,18490000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size M/L,Titan Vàng,18490000,18490000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size M/L,Titan Đen,18490000,18490000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M,Titan Tự Nhiên,18490000,18490000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M,Titan Vàng,18490000,18490000,0
CPS,Apple Watch Series 10 46mm 4G Viền Titan Dây Thép Size S/M,Titan Đen,18490000,18490000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L,Bạc - Dây tím,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L,Vàng Hồng - Dây hồng,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L,Xám không gian - Dây đen,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size M/L,Đen bóng - Dây đen,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size S/M,Bạc - Dây tím,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size S/M,Vàng Hồng - Dây hồng,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size S/M,Xám không gian - Dây đen,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Nhôm Dây Cao Su Size S/M,Đen bóng - Dây đen,12390000,12390000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Titan Dây Cao Su Size M/L,Titan Tự Nhiên - Dây xám,18590000,18590000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Titan Dây Cao Su Size M/L,Titan Vàng - Dây hồng,18590000,18590000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Titan Dây Cao Su Size M/L,Titan Đen - Dây đen,18590000,18590000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Tự Nhiên - Dây xám,18590000,18590000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Vàng - Dây hồng,18590000,18590000,0
CPS,Apple Watch Series 11 42mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Đen - Dây đen,18590000,18590000,0
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Bạc - Dây tím,9290000,9290000,0
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Vàng Hồng - Dây hồng,9190000,9290000,100000
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Xám không gian - Dây đen,9290000,9190000,-100000
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Đen bóng - Dây đen,9190000,9190000,0
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Bạc - Dây tím,9290000,9290000,0
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Vàng Hồng - Dây hồng,9290000,9290000,0
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Xám không gian - Dây đen,9290000,9290000,0
CPS,Apple Watch Series 11 42mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Đen bóng - Dây đen,9190000,9190000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size M/L,Bạc - Dây tím,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size M/L,Vàng Hồng - Dây hồng,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size M/L,Xám không gian - Dây đen,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size M/L,Đen bóng - Dây đen,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size S/M,Bạc - Dây tím,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size S/M,Vàng Hồng - Dây hồng,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size S/M,Xám không gian - Dây đen,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Nhôm Dây Cao Su Size S/M,Đen bóng - Dây đen,13290000,13290000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Titan Dây Cao Su Size M/L,Titan Tự Nhiên - Dây xám,20490000,20490000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Titan Dây Cao Su Size M/L,Titan Vàng - Dây hồng,20490000,20490000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Titan Dây Cao Su Size M/L,Titan Đen - Dây đen,20490000,20490000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Tự Nhiên - Dây xám,20490000,20490000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Vàng - Dây hồng,20490000,20490000,0
CPS,Apple Watch Series 11 46mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Đen - Dây đen,20490000,20490000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Bạc - Dây tím,9990000,9990000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Vàng Hồng - Dây hồng,9990000,9990000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Xám không gian - Dây đen,9990000,9990000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size M/L,Đen bóng - Dây đen,9990000,9990000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Bạc - Dây tím,9990000,9990000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Vàng Hồng - Dây hồng,9990000,9990000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Xám không gian - Dây đen,9990000,9990000,0
CPS,Apple Watch Series 11 46mm (GPS) Viền Nhôm Dây Cao Su Size S/M,Đen bóng - Dây đen,9990000,9990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Alpine Size L,Titan Tự Nhiên,19990000,19990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Alpine Size M,Titan Tự Nhiên,19990000,19990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Alpine Size S,Titan Tự Nhiên,19990000,19990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Titan Size L,Titan Tự Nhiên,23990000,23990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Titan Size M,Titan Tự Nhiên,23990000,23990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Titan Size S,Titan Tự Nhiên,23990000,23990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Trail Size M/L,Titan Tự Nhiên,19990000,19990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Trail Size S/M,Titan Tự Nhiên,20590000,20590000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Alpine Size L,Titan Đen,19990000,19990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Alpine Size S,Titan Đen,19990000,19990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Cao Su,Titan Đen,21090000,21090000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Titan Size L,Titan Đen,22990000,22990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Titan Size M,Titan Đen,22990000,22990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Titan Size S,Titan Đen,22990000,22990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Trail Size M/L,Titan Đen,19990000,19990000,0
CPS,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Đen Dây Trail Size S/M,Titan Đen,19990000,19990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Alpine Size L,Titan Tự Nhiên - Dây xanh,23190000,23190000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Alpine Size L,Titan Đen - Dây đen,23190000,22990000,-200000
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Alpine Size M,Titan Tự Nhiên - Dây xanh,22990000,23190000,200000
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Alpine Size M,Titan Đen - Dây đen,22990000,22990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Alpine Size S,Titan Tự Nhiên - Dây xanh,23190000,23190000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Alpine Size S,Titan Đen - Dây đen,23190000,22990000,-200000
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Tự Nhiên - Dây xanh,22990000,22990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Cao Su Size S/M,Titan Đen - Dây đen,22990000,22990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Thép Size L,Titan Tự Nhiên - Dây tự nhiên,26490000,26490000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Thép Size L,Titan Đen - Dây đen,26490000,25990000,-500000
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Thép Size M,Titan Tự Nhiên - Dây tự nhiên,25990000,26490000,500000
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Thép Size M,Titan Đen - Dây đen,25990000,25990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Trail Size M/L,Titan Tự Nhiên - Dây xanh,22990000,22990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Trail Size M/L,Titan Đen - Dây đen,22990000,22990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Trail Size S/M,Titan Tự Nhiên - Dây xanh,22990000,22990000,0
CPS,Apple Watch Ultra 3 49mm (5G) Viền Titan Dây Trail Size S/M,Titan Đen - Dây đen,22990000,22990000,0
CPS,Apple iPad Air 11 M3 Wifi 128GB 2025,Tím,12890000,,
CPS,Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB),Xám,12990000,12990000,0
CPS,Mac mini M4 2024 10CPU 10GPU 16GB 256GB,Bạc,13990000,13990000,0
CPS,Mac mini M4 2024 10CPU 10GPU 16GB 512GB,Bạc,18890000,18890000,0
CPS,Mac mini M4 2024 10CPU 10GPU 24GB 1TB,Bạc,,28990000,
CPS,"Mac mini M4 2024 10CPU 10GPU 24GB 1TBGiá tốt 12/2025, trả góp 0%",Bạc,28990000,,
CPS,Mac mini M4 2024 10CPU 10GPU 24GB 256GB,Bạc,,19290000,
CPS,Mac mini M4 2024 10CPU 10GPU 24GB 512GB,Bạc,24290000,24290000,0
CPS,Mac mini M4 2024 10CPU 10GPU 32GB 512GB,Bạc,,29590000,
CPS,"Mac mini M4 2024 10CPU 10GPU 32GB 512GBGiá tốt 12/2025, trả góp 0%",Bạc,29590000,,
CPS,"Mac mini M4 2024 24gb 256gbGiá tốt 12/2025, trả góp 0%",Bạc,19290000,,
CPS,Mac mini M4 Pro 2024 12CPU 16GPU 48GB 512GB,Bạc,42990000,42990000,0
CPS,MacBook Air M2 2024 8CPU 10GPU 16GB 256GB Sạc 30W,Bạc,19490000,19490000,0
CPS,MacBook Air M2 2024 8CPU 10GPU 16GB 256GB Sạc 30W,Trắng vàng,19490000,19490000,0
CPS,MacBook Air M2 2024 8CPU 10GPU 16GB 256GB Sạc 30W,Xám,19490000,19490000,0
CPS,MacBook Air M2 2024 8CPU 10GPU 16GB 256GB Sạc 30W,Đen,19490000,19490000,0
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,Bạc,30790000,30790000,0
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,Xanh da trời,30490000,30490000,0
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,Ánh sao,30490000,30490000,0
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,Đêm xanh thẳm,,30490000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,Bạc,30990000,30990000,0
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,Xanh da trời,30990000,30990000,0
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,Ánh sao,30990000,30990000,0
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W,Đêm xanh thẳm,31290000,31290000,0
CPS,"MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GBGiá rẻ, trả góp 0%",Đêm xanh thẳm,30490000,,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,Bạc,,34990000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,Xanh da trời,,35190000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,Ánh sao,,34990000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,Đêm xanh thẳm,,34990000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,Bạc,,35490000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,Xanh da trời,,35590000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,Ánh sao,,35490000,
CPS,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W,Đêm xanh thẳm,,35490000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,Bạc,,25290000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,Xanh da trời,,25290000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,Ánh sao,,25190000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,Đêm xanh thẳm,,24990000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,Bạc,,26090000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,Xanh da trời,,25990000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,Ánh sao,,25890000,
CPS,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB Sạc 70W,Đêm xanh thẳm,,25890000,
CPS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,Bạc,,29990000,
CPS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,Xanh da trời,,29990000,
CPS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,Ánh sao,,29990000,
CPS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,Đêm xanh thẳm,,29990000,
CPS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W,Bạc,,30490000,
CPS,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB Sạc 70W,Xanh da trời,,30490000,
