Date,Family,Model,Retailer,Price,Listed_Price,In_Stock,URL,Discount_Amount,Discount_Pct
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-11-23,AirPods,AirPods (Thế hệ thứ 3),fpt,6690000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,100000,1.5
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-01,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-05,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-05,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
2025-12-05,AirPods,AirPods (Thế hệ thứ 3),fpt,6790000,6790000,1,https://fptshop.com.vn/phu-kien/tai-nghe-airpods-pro-3-2025-usb-c,0,0.0
