Product_Name;Retailer;Original_Promo;Promo_Type;Discount_Value;Gifts;Requirements;Expiry
iPhone 14 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 3,700,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;3700000;"[""Túi lộc"", ""Gói dịch vụ Apple Music và Fitness+ 3 tháng"", ""Tai nghe AirPods"", ""Apple Watch SE 3 và Series 11"", ""SIM FPT""]";"[""Mua Gia Dụng, Điện Máy, Phụ Kiện"", ""Mua Tai nghe AirPods"", ""Mua Apple Watch SE 3 và Series 11"", ""Mua kèm SIM FPT""]";14/02
iPhone 16 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 2,700,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;2700000;Túi lộc, Gói dịch vụ Apple Music và Fitness+ 3 tháng, Tai nghe AirPods, Apple Watch SE 3, Apple Watch Series 11, SIM FPT;;14/02
iPhone 16 Plus 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 2,200,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;2200000;Túi lộc, Gói dịch vụ Apple Music và Fitness+ 3 tháng, Tai nghe AirPods, Apple Watch SE 3, Apple Watch Series 11, SIM FPT;;14/02
iPhone 13 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 2,400,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;2400000;Túi lộc, Gói dịch vụ Apple Music và Fitness+ 3 tháng, Tai nghe AirPods, Apple Watch SE 3, Apple Watch Series 11, SIM FPT;;14/02
iPhone 16 Pro 128GB;fpt;;None;;;;
iPhone 14 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 3,700,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;3700000;3700000;;2026-06-30
iPhone 16 Plus 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 2,200,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;2200000;2200000;;2026-06-30
iPhone 16 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 2,700,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;2700000;2700000;;2026-06-30
iPhone 13 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 2,400,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;2400000;2400000;;2026-06-30
iPhone 15 128GB;fpt;"Khuyến mãi được hưởng

Tặng túi lộc 2,800,000đ áp dụng đến 14/02

Đặc quyền tặng gói dịch vụ Apple Music và Fitness+ 3 tháng 


Lì xì đến 1,000,000đ mua Gia Dụng, Điện Máy, Phụ Kiện 


Lì xì 500,000đ ";Tặng quà;2800000;Túi lộc, Gói dịch vụ Apple Music và Fitness+ 3 tháng, Tai nghe AirPods, Apple Watch SE 3, Apple Watch Series 11, SIM FPT;;14/02
