Retailer;Product_Name;mapped
mw;AirPods 4 (chống ồn);airpods_4_anc
mw;AirPods 4 MXP63;airpods_4
viettel;AirPods Pro Gen 2 (USB-C);airpods_pro_2
cps;Apple iPad Air 11 M3 Wifi 512GB 2025;ipad_air_11_m3_wifi
cps;Apple Mac Studio M4 Max 2025 14CPU 32GPU 36GB 512GB;mac_studio_m4_max
cps;Apple Mac Studio M4 Max 2025 14CPU 32GPU 36GB 512GB;mac_studio_m4_max
cps;Apple MacBook Air 13 256GB 2020;macbook_air_13_m1
cps;Apple MacBook Air 13 256GB 2020;macbook_air_13_m1
cps;Apple MacBook Air 13 256GB 2020;macbook_air_13_m1
cps;Apple MacBook Air 13 256GB 2020;macbook_air_13_m1
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
cps;Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB;macbook_air_13_m2
ddv;Apple Watch SE 2 (2024) 40mm (GPS) Viền nhôm - Dây cao su S/M;apple_watch_se_3_gps_40mm
ddv;Apple Watch SE 2 (2024) 40mm (LTE) Viền nhôm - Dây cao su S/M;apple_watch_se_2_lte_40mm
ddv;Apple Watch SE 2 (2024) 44mm (GPS) Viền nhôm - Dây cao su size S/M;apple_watch_se_2_gps_44mm
ddv;Apple Watch SE 2 (2024) 44mm (LTE) Viền nhôm - Dây cao su size S/M;apple_watch_se_2_lte_44mm
cps;Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_40mm
cps;Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_40mm
cps;Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_40mm
cps;Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_40mm
cps;Apple Watch SE 2 2024 40mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_40mm
cps;Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_44mm
cps;Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_44mm
cps;Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_44mm
cps;Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_44mm
cps;Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_3_gps_44mm
cps;Apple Watch SE 2 2024 44mm (GPS) Viền Nhôm Dây Cao Su;apple_watch_se_2_gps_44mm
viettel;Apple Watch SE 2 Cellular 40mm Sport Band S/M;apple_watch_se_2_lte_40mm
viettel;Apple Watch SE 2 Cellular 40mm Sport Band S/M;apple_watch_se_2_lte_40mm
viettel;Apple Watch SE 2 Cellular 40mm Sport Band S/M;apple_watch_se_2_lte_40mm
viettel;Apple Watch SE 2 Cellular 40mm Sport Loop;apple_watch_se_2_lte_40mm
viettel;Apple Watch SE 2 Cellular 40mm Sport Loop;apple_watch_se_2_lte_40mm
viettel;Apple Watch SE 2 Cellular 40mm Sport Loop;apple_watch_se_2_lte_40mm
viettel;Apple Watch SE 2 GPS 40mm Sport Band S/M;apple_watch_se_2_gps_40mm
viettel;Apple Watch SE 2 GPS 40mm Sport Band S/M;apple_watch_se_2_gps_40mm
viettel;Apple Watch SE 2 GPS 40mm Sport Loop;apple_watch_se_2_gps_40mm
viettel;Apple Watch SE 2 GPS 40mm Sport Loop;apple_watch_se_2_gps_40mm
viettel;Apple Watch SE 2 GPS 40mm Sport Loop;apple_watch_se_2_gps_40mm
viettel;Apple Watch SE 2 GPS 44mm Sport Band S/M;apple_watch_se_2_gps_44mm
viettel;Apple Watch SE 2 GPS 44mm Sport Loop;apple_watch_se_2_gps_44mm
viettel;Apple Watch SE 2 GPS 44mm Sport Loop;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
mw;Apple Watch SE 2 GPS 44mm viền nhôm dây vải;apple_watch_se_2_gps_44mm
fpt;Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Cao Su S/M;apple_watch_se_2_gps_40mm
fpt;Apple Watch SE 2024 GPS 40mm Viền Nhôm Dây Vải;apple_watch_se_2_gps_40mm
fpt;Apple Watch SE 2024 GPS 44mm Viền Nhôm Dây Cao Su S/M;apple_watch_se_2_gps_44mm
ddv;Apple Watch SE 3 (2025) 40mm (GPS) Viền nhôm - Dây cao su S/M;apple_watch_se_3_gps_40mm
ddv;Apple Watch SE 3 (2025) 40mm (GPS) Viền nhôm - Dây cao su S/M;apple_watch_se_3_gps_40mm
ddv;Apple Watch SE 3 (2025) 44mm (5G) Viền nhôm - Dây cao su S/M;apple_watch_se_3_lte_44mm
ddv;Apple Watch SE 3 (2025) 44mm (GPS) Viền nhôm - Dây cao su S/M;apple_watch_se_3_gps_44mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 40mm (GPS) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_gps_40mm
cps;Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_lte_44mm
cps;Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_lte_44mm
cps;Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_lte_44mm
cps;Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_44mm
cps;Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_44mm
cps;Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_44mm
cps;Apple Watch SE 3 44mm (5G) Viền Nhôm Dây Cao Su Size S/M;apple_watch_se_3_lte_44mm
cps;Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_44mm
cps;Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_44mm
cps;Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_44mm
cps;Apple Watch SE 3 44mm (GPS) Viền Nhôm Dây Cao Su Size M/L;apple_watch_se_3_gps_44mm
