Product Name;Lowest Price;Promo Price @ FPT;Promo Price @ FPT + VNPay;Promo Price @ MW;Promo Price @ MW + VNPay;Promo Price @ TopZone;Promo Price @ TZ + VNPay;Promo Price @ VT;Promo Price @ VT + VNPay;Promo Price @ SD;Promo Price @ SD + VNPay;Promo Price @ HH;Promo Price @ HH + VNPay;Promo Price @ DDV;Promo Price @ CPS;Promo Price @ CPS + VNPAY;Promo Price @ Tiki;Promo Price @ Shopee;Stock @ FPT;Stock @ MW;Stock @ TopZone;Stock @ VT;Stock @ SD;Stock @ HH;Stock @ DDV;Stock @ CPS;Stock @ Tiki;Stock @ Shopee;Date
iPhone 13 Pro Max 128GB;26.490.000;27.990.000;27.490.000;28.290.000;28.290.000;27.590.000;27.090.000;27.990.000;26.990.000;27.390.000;27.390.000;26.990.000;26.490.000;27.390.000;27.390.000;;not trading;33.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;No;2022-08-01
iPhone 13 Pro Max 256GB;28.890.000;30.490.000;29.990.000;30.790.000;30.790.000;29.590.000;29.090.000;30.490.000;29.490.000;29.190.000;29.190.000;29.390.000;28.890.000;29.390.000;29.390.000;;not trading;37.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;Yes;2022-08-01
iPhone 13 Pro Max 512GB;33.990.000;34.990.000;34.490.000;35.290.000;35.290.000;35.190.000;34.690.000;temporary OOS;temporary OOS;33.990.000;33.990.000;34.990.000;34.490.000;34.990.000;34.990.000;;not trading;43.990.000;No;Yes;Yes;No;Yes;Yes;Yes;No;not trading;No;2022-08-01
iPhone 13 Pro Max 1TB;37.990.000;39.990.000;39.490.000;40.290.000;40.290.000;40.190.000;39.690.000;38.990.000;37.990.000;39.990.000;39.990.000;40.290.000;39.790.000;41.990.000;39.990.000;;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;not trading;2022-08-01
iPhone 13 Pro 128GB;23.990.000;25.990.000;25.490.000;26.290.000;26.290.000;24.790.000;24.290.000;24.990.000;23.990.000;24.590.000;24.590.000;24.490.000;23.990.000;24.390.000;24.590.000;;24.820.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPhone 13 Pro 256GB;26.190.000;27.490.000;26.990.000;27.290.000;27.290.000;27.190.000;26.690.000;27.490.000;26.490.000;26.990.000;26.990.000;26.690.000;26.190.000;26.890.000;26.790.000;;not trading;34.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;No;2022-08-01
iPhone 13 Pro 512GB;30.790.000;31.990.000;31.490.000;31.990.000;31.490.000;31.990.000;31.490.000;31.790.000;30.790.000;31.990.000;31.990.000;32.490.000;31.990.000;31.990.000;32.500.000;;not trading;40.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;not trading;No;2022-08-01
iPhone 13 Pro 1TB;35.490.000;36.990.000;36.490.000;36.990.000;36.490.000;36.990.000;36.490.000;36.490.000;35.490.000;36.990.000;36.990.000;37.490.000;36.990.000;37.990.000;38.000.000;;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;No;not trading;not trading;2022-08-01
iPhone 13 128GB;18.340.000;19.990.000;19.490.000;20.290.000;20.290.000;19.690.000;19.190.000;19.990.000;18.990.500;18.990.000;18.490.000;18.590.000;18.340.000;19.390.000;19.490.000;;19.310.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPhone 13 256GB;20.990.000;21.990.000;21.490.000;22.990.000;22.990.000;22.990.000;22.490.000;21.990.000;20.990.000;21.690.000;21.190.000;21.690.000;21.190.000;22.490.000;21.990.000;;22.120.000;27.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;2022-08-01
