Type,Retailer,Original,Key,Reason
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
Line Mismatch,Mobile World,iPad mini 7 5G 256GB,ipad_pro_13_m5_lte_nano,Key has 'ipad_pro' but Name has 'mini'
