Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Other_promotion;Link;screenshot_name
Loa Bluetooth Marshall Acton II;Trắng;No;7845000;7845000;2026-01-02;;;;https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-acton-ii;Skipped
Loa Bluetooth Marshall Kilburn II;Đen Vàng;Yes;8830000;7790000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 1,040,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 840,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-kilburn-ii;Skipped
Loa Bluetooth Marshall Emberton III;Xanh xô thơm;Yes;5300000;4770000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 530,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 410,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-emberton-iii;Skipped
Loa Bluetooth Marshall Kilburn III;Kem;Yes;10490000;10490000;2026-01-02;"Khuyến mãi được hưởng

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-kilburn-iii;Skipped
Loa Bluetooth Marshall Emberton II;Kem;Yes;4899000;3690000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 1,209,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 1,009,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-emberton-ii;Skipped
Loa Bluetooth Marshall Middleton;Kem;Yes;8830000;6990000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 1,840,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 1,540,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-middleton;Skipped
Loa Bluetooth Marshall Middleton II;Kem;Yes;8990000;8290000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 700,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 300,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-middleton-ii;Skipped
Loa Bluetooth Marshall Stanmore III;Nâu;No;11780000;10590000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 1,190,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 790,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-stanmore-iii;Skipped
Loa Bluetooth Marshall Bromley 750;Unknown;No;32900000;31900000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 1,000,000đ

Khuyến mãi 2

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-bromley-750;Loa_Bluetooth_Marshall_Bromley_750_2026-01-02_10-01-00.png
Loa Bluetooth Marshall Marshall Willen II;Kem;No;2990000;2691000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 299,000đ

Khuyến mãi 2

Tặng túi lộc 100,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Khuyến mãi 3

Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-willen-ii;Skipped
Loa Bluetooth Marshall Willen;Kem;Yes;2739000;2490000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 249,000đ

Khuyến mãi 2

Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-willen;Skipped
Loa Bluetooth Marshall Woburn 2 | Giá giảm sâu, trả góp 0%;Trắng;No;16092000;9990000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 6,102,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 5,602,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-woburn-ii;Skipped
Loa Bluetooth Marshall Acton III;Unknown;Yes;7850000;6990000;2026-01-02;"Khuyến mãi được hưởng

Tặng túi lộc 860,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-acton-iii;Loa_Bluetooth_Marshall_Acton_III_2026-01-02_10-01-34.png
Loa Bluetooth Marshall Woburn III;Nâu;No;17670000;15890000;2026-01-02;"Khuyến mãi được hưởng

Tặng túi lộc 1,780,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-woburn-iii;Skipped
Loa siêu trầm Marshall Heston Sub 200;Kem;No;12750000;13900000;2026-01-02;;"Giảm ngay 1,000,000 đồng cho đơn hàng từ 15 triệu khi trả góp qua thẻ VIB.

HSD: 31/01/2026

Giảm ngay 800,000đ cho đơn từ 8 triệu khi thanh toán qua thẻ Visa SCB.

HSD: 30/06/2026

Giảm đến 1,000,000 đồng cho đơn hàng từ 3 triệu khi trả góp qua thẻ Techcombank MasterCard

HSD: 28/02/2026

Giảm đến 1,000,000 đồng cho đơn hàng từ 3 triệu khi trả góp qua thẻ Techcombank Visa

HSD: 31/01/2026




Giảm ngay 500,000đ cho đơn hàng từ 10 triệu khi thanh toán bằng thẻ OCB

HSD: 31/01/2026

Giảm ngay 10% tối đa 500.000đ cho đơn hàng khi thanh toán 100% qua thẻ tín dụng MBBank MasterCard.

HSD: 31/01/2026

Giảm đến 300,000đ cho đơn trên 15 triệu khi trả góp 100% qua thẻ Visa (áp dụng Sacombank và Muadee by HDBank)

HSD: 31/01/2026




Giảm ngay 400,000đ cho hóa đơn từ 8,000,000đ khi thanh toán qua thẻ tín dụng Home Credit

HSD: 31/01/2026

Giảm ngay 50% tối đa 100.000đ cho Khách hàng mới Hoặc Giảm 5% tối đa 200,000đ đơn hàng từ 700.000đ khi thanh toán qua Kredivo

HSD: 31/01/2026";"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-sieu-tram-marshall-heston-sub-200;Skipped
Loa Bluetooth Marshall Stockwell 2;Unknown;Yes;6570000;5913000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 657,000đ

Trả góp 0%

Khuyến mãi 2

Tặng túi lộc 380,000đ

Tặng bảo hành 1 đổi 1 trọn đời 


Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-bluetooth-marshall-stockwell-2;Loa_Bluetooth_Marshall_Stockwell_2_2026-01-02_10-01-40.png
Loa thanh Marshall Heston 60;Kem;No;22484000;21900000;2026-01-02;;;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-thanh-marshall-heston-60;Skipped
Bluetooth choàng đầu Marshall Major V;Nâu;No;4220000;3798000;2026-01-02;"Khuyến mãi được hưởng

Tặng túi lộc 422,000đ

Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/tai-nghe-bluetooth-choang-dau-marshall-major-v;Skipped
Bluetooth nhét tai Marshall Minor IV;Kem;Yes;3630000;3049000;2026-01-02;"Khuyến mãi 1

Tặng túi lộc 581,000đ áp dụng đến 31/01

Khuyến mãi 2

Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/tai-nghe-bluetooth-nhet-tai-marshall-minor-iv;Skipped
Loa thanh Marshall Heston 120;Unknown;No;32900000;32900000;2026-01-02;;;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/loa-thanh-marshall-heston-120;Loa_thanh_Marshall_Heston_120_2026-01-02_10-02-31.png
Bluetooth choàng đầu Marshall Major IV;Unknown;Yes;4212000;3290000;2026-01-02;"Khuyến mãi được hưởng

Tặng túi lộc 922,000đ

Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/tai-nghe-bluetooth-choang-dau-marshall-major-iv;Bluetooth_choàng_đầu_Marshall_Major_IV_2026-01-02_10-02-34.png
Bluetooth nhét tai Marshall Minor III;Unknown;Yes;3328000;3328000;2026-01-02;;;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/tai-nghe-bluetooth-nhet-tai-marshall-minor-iii;Bluetooth_nhét_tai_Marshall_Minor_III_2026-01-02_10-02-59.png
Bluetooth nhét tai Marshall Motif II A.N.C;Unknown;Yes;5400000;4850000;2026-01-02;"Khuyến mãi được hưởng

Tặng túi lộc 550,000đ

Trả góp 0%";;"Quà tặng và ưu đãi khác
Ưu đãi

Trả góp 0% lãi suất, MIỄN PHÍ chuyển đổi kì hạn 3 - 6 tháng qua thẻ tín dụng";https://fptshop.com.vn/phu-kien/tai-nghe-bluetooth-nhet-tai-marshall-motif-ii-anc;Bluetooth_nhét_tai_Marshall_Motif_II_A.N.C_2026-01-02_10-03-01.png
